Unnamed: 0,ID,gene_name,rank_expr_norm,rank_pubmed_mean_norm,rank_tf_norm,rank_kinase_norm,rank_crisp_mean_norm,rank_crisp_min_norm,rank_expr_fold_change_norm,rank_is_TSG_norm,rank_GO_term_norm,rank_PPI_norm,SUM_RANK,group_num,prob_of_onco
1,TCGA-02-2485_7_52654649_53869348,POM121L12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1,0.8918
2,TCGA-02-2485_7_56084143_56403069,PSPH,0.33,1.0,0.58,0.5,0.5,0.67,0.33,0.58,1.0,0.58,6.07,2,0.3318
3,TCGA-02-2485_7_56084143_56403069,CCT6A,0.83,0.83,0.58,0.5,1.0,1.0,1.0,0.58,0.83,0.58,7.73,2,0.2274
4,TCGA-02-2485_7_56084143_56403069,SUMF2,0.67,0.33,0.58,0.5,0.33,0.33,0.5,0.58,0.25,0.58,4.65,2,0.0351
5,TCGA-02-2485_7_56084143_56403069,PHKG1,0.5,0.5,0.58,1.0,0.67,0.5,0.67,0.58,0.67,0.58,6.25,2,0.127
6,TCGA-02-2485_7_56084143_56403069,CHCHD2,1.0,0.67,0.58,0.5,0.83,0.83,0.83,0.58,0.5,0.58,6.9,2,0.0809
7,TCGA-02-2485_7_56084143_56403069,NUPR1L,0.17,0.17,0.58,0.5,0.17,0.17,0.17,0.58,0.25,0.58,3.34,2,0.0351
8,TCGA-05-4422_8_136483458_137010556,KHDRBS3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3,0.8918
9,TCGA-05-4432_14_41385630_42340281,LRFN5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,4,0.8918
10,TCGA-05-4433_12_67369365_69000548,CAND1,1.0,0.5,0.58,0.5,1.0,1.0,0.83,0.58,1.0,0.58,7.57,5,0.2093
11,TCGA-05-4433_12_67369365_69000548,DYRK2,0.83,0.67,0.58,1.0,0.83,0.67,1.0,0.58,0.83,0.58,7.57,5,0.3446
12,TCGA-05-4433_12_67369365_69000548,IFNG,0.5,1.0,0.58,0.5,0.17,0.5,0.5,0.58,0.5,0.58,5.41,5,0.2518
13,TCGA-05-4433_12_67369365_69000548,IL26,0.25,0.33,0.58,0.5,0.33,0.17,0.17,0.58,0.67,0.58,4.16,5,0.0422
14,TCGA-05-4433_12_67369365_69000548,IL22,0.25,0.83,0.58,0.5,0.5,0.33,0.33,0.58,0.33,0.58,4.81,5,0.049
15,TCGA-05-4433_12_67369365_69000548,MDM1,0.67,0.17,0.58,0.5,0.67,0.83,0.67,0.58,0.17,0.58,5.42,5,0.0471
16,TCGA-06-0138-a_12_58922705_59430754,RP11-362K2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,6,0.8918
17,TCGA-06-0174_4_52685699_53271281,DCUN1D4,0.75,0.5,0.62,0.62,0.5,0.5,0.5,0.62,0.5,0.62,5.73,7,0.0804
18,TCGA-06-0174_4_52685699_53271281,LRRC66,0.5,0.25,0.62,0.62,0.75,0.75,0.75,0.62,0.5,0.62,5.98,7,0.1051
19,TCGA-06-0174_4_52685699_53271281,SGCB,1.0,0.75,0.62,0.62,1.0,1.0,1.0,0.62,1.0,0.62,8.23,7,0.3857
20,TCGA-06-0174_4_52685699_53271281,SPATA18,0.25,1.0,0.62,0.62,0.25,0.25,0.25,0.62,0.5,0.62,4.98,7,0.383
21,TCGA-06-0686_6_43924212_44211867,C6orf223,0.4,0.6,0.6,0.6,0.2,0.2,0.4,0.6,0.5,0.6,4.7,9,0.0569
22,TCGA-06-0686_6_43924212_44211867,MRPL14,0.8,0.6,0.6,0.6,1.0,1.0,0.6,0.6,0.5,0.6,6.9,9,0.1477
23,TCGA-06-0686_6_43924212_44211867,TMEM63B,0.6,0.6,0.6,0.6,0.8,0.4,0.2,0.6,0.5,0.6,5.5,9,0.0593
24,TCGA-06-0686_6_43924212_44211867,CAPN11,0.2,0.2,0.6,0.6,0.4,0.8,0.8,0.6,0.5,0.6,5.3,9,0.0737
25,TCGA-06-0686_6_43924212_44211867,SLC29A1,1.0,1.0,0.6,0.6,0.6,0.6,1.0,0.6,1.0,0.6,7.6,9,0.6567
26,TCGA-06-0686_6_44217654_44568765,HSP90AB1,1.0,1.0,0.5,0.56,0.62,0.88,0.75,0.56,0.75,0.56,7.18,10,0.4424
27,TCGA-06-0686_6_44217654_44568765,SLC35B2,0.88,0.75,0.5,0.56,0.75,0.75,0.88,0.56,1.0,0.56,7.19,10,0.1481
28,TCGA-06-0686_6_44217654_44568765,TMEM151B,0.62,0.44,0.5,0.56,0.38,0.25,0.25,0.56,0.31,0.56,4.43,10,0.0317
29,TCGA-06-0686_6_44217654_44568765,RP11-444E17.6,0.5,0.19,0.5,0.56,0.12,0.12,1.0,0.56,0.31,0.56,4.42,10,0.0314
30,TCGA-06-0686_6_44217654_44568765,TCTE1,0.25,0.19,0.5,0.56,0.25,0.38,0.5,0.56,0.31,0.56,4.06,10,0.0317
31,TCGA-06-0686_6_44217654_44568765,AARS2,0.75,0.62,0.5,0.56,0.88,0.62,0.62,0.56,0.62,0.56,6.29,10,0.0596
32,TCGA-06-0686_6_44217654_44568765,SPATS1,0.12,0.44,0.5,0.56,0.5,0.5,0.12,0.56,0.31,0.56,4.17,10,0.0317
33,TCGA-06-0686_6_44217654_44568765,CDC5L,0.38,0.88,1.0,0.56,1.0,1.0,0.38,0.56,0.88,0.56,7.2,10,0.225
34,TCGA-06-0686_6_45419110_45818316,RUNX2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,11,0.8918
35,TCGA-06-0686_6_47740510_48218849,OPN5,1.0,1.0,0.75,0.75,0.5,1.0,1.0,0.75,1.0,0.75,8.5,12,0.8724
36,TCGA-06-0686_6_47740510_48218849,PTCHD4,0.5,0.5,0.75,0.75,1.0,0.5,0.5,0.75,0.5,0.75,6.5,12,0.1107
37,TCGA-06-0686_12_68636667_68918309,IL22,0.5,1.0,0.75,0.75,0.5,0.5,1.0,0.75,1.0,0.75,7.5,8,0.709
38,TCGA-06-0686_12_68636667_68918309,MDM1,1.0,0.5,0.75,0.75,1.0,1.0,0.5,0.75,0.5,0.75,7.5,8,0.4043
39,TCGA-06-2557_7_52719712_53371272,POM121L12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,13,0.8918
40,TCGA-06-2557_7_79596530_80900223,GNAI1,1.0,0.6,0.6,0.6,0.4,1.0,0.6,0.6,0.8,0.6,6.8,14,0.1508
41,TCGA-06-2557_7_79596530_80900223,CD36,0.6,1.0,0.6,0.6,1.0,0.8,1.0,0.6,0.6,0.6,7.4,14,0.6519
